timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
2777935995,2777935641,0.98337567,-0.009106272,0.011957794,-0.18095954,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2777986016,2777985641,0.98350304,-0.009360277,0.01180961,-0.18026324,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2778035968,2778035641,0.9836562,-0.007879633,0.011842676,-0.17949454,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2778086005,2778085661,0.98375857,-0.0074997684,0.011899988,-0.17894481,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2778135982,2778135641,0.9839323,-0.007458884,0.011787653,-0.17799626,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2778186079,2778185680,0.98401004,-0.00840695,0.01189183,-0.17751698,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2778235956,2778235641,0.9841164,-0.009113977,0.012229113,-0.1768688,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2778291002,2778290529,0.98423946,-0.012088187,0.011837794,-0.17602956,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2778339815,2778335828,0.9842547,-0.012947995,0.012560713,-0.17583296,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2778386013,2778385641,0.984316,-0.011317269,0.013735799,-0.17551462,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2778435982,2778435516,0.98436517,-0.008658293,0.014974092,-0.17528822,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2778489720,2778485784,0.9844206,-0.0069002407,0.014553167,-0.17509054,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2778536033,2778535557,0.98452765,-0.008177476,0.012779036,-0.17457145,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2778586011,2778585640,0.98456925,-0.009266143,0.011550259,-0.17436814,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2778635988,2778635640,0.98468107,-0.009180188,0.010917958,-0.17378077,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2778686005,2778685641,0.9847111,-0.009388377,0.010450348,-0.17362805,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2778735993,2778735641,0.9847559,-0.010602132,0.010366462,-0.17330946,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2778781001,2778780660,0.9847845,-0.010890243,0.010563028,-0.17311662,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2778835979,2778835535,0.98483294,-0.0111201545,0.010786169,-0.17281216,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2778886060,2778885681,0.9848373,-0.0098927915,0.011379356,-0.17282408,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2778936010,2778935640,0.9848581,-0.009342144,0.012374359,-0.17266802,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2778985981,2778985516,0.9847987,-0.010539039,0.012938954,-0.1728962,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2779035996,2779035642,0.9847819,-0.011951517,0.01260022,-0.17292511,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2779080967,2779080642,0.98470825,-0.014017922,0.012384731,-0.17320496,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
