t,x,y
9320000,11.020402906261538,10.328874593359258
9336000,11.101285555236784,10.320039192336644
9356000,11.166088761784762,10.312983774898187
9376000,11.247188972967434,10.304173387264214
9400000,11.328406285042941,10.295368652924221
9416000,11.426009437322188,10.284812208136993
9436000,11.491191765495119,10.277781324996692
9456000,11.57276300934617,10.268992211985895
9480000,11.654444839150774,10.260202079012057
9496000,11.752593104618569,10.249645307073955
9516000,11.818134585183389,10.242608998933093
9540000,11.900146063226757,10.233817664005871
9556000,11.998673815772932,10.223269835328026
9576000,12.06444254296928,10.21624184196245
9596000,12.146721504914959,10.207463311751201
9616000,12.2290869260045,10.198694717092506
9636000,12.311543288975649,10.189923137198486
9656000,12.3940926286208,10.181156044311733
9676000,12.476736662565033,10.172392433787111
9700000,12.559479145732436,10.163630859133127
9720000,12.658872868928995,10.153118397038892
9736000,12.741809859626729,10.14435894783651
9756000,12.808231029474111,10.13735644372425
9776000,12.891327393607217,10.128602584662165
9796000,12.974517399941346,10.119841400255906
9816000,13.057795139546855,10.111074466267894
9836000,13.141164309558546,10.102295559686285
9856000,13.224623932759544,10.093510490475133
9876000,13.308171826949927,10.084717144996867
9896000,13.391806576688012,10.07592888064283
9920000,13.475526689566498,10.067144659549028
9936000,13.576079981481378,10.056592814444068
9956000,13.643185615545145,10.049544765158213
9976000,13.727122702023138,10.04072783062723
9996000,13.811127928814285,10.031894453569693
10016000,13.895203211969271,10.023058657126146
10040000,13.979347270511552,10.014224423042988
10056000,14.080398862970702,10.003615142872519
10076000,14.147825407862818,9.996539174565422
10096000,14.2321596776167,9.987693393253126
10116000,14.316555955537254,9.978840870142484
10136000,14.401017313265989,9.96998781981326
10156000,14.485534833131064,9.961129111986615
10176000,14.570111260292519,9.952272178109174
10196000,14.65475109699798,9.943406991049011
10216000,14.739457053723074,9.934534490700763
10236000,14.824232558720622,9.925651188253
10256000,14.909086999143186,9.91675276299809
10276000,14.994016808211368,9.907841607655358
10300000,15.079013204481472,9.898921410977717
10316000,15.1810822959517,9.888213777561718
10336000,15.249172004828988,9.881066875780697
10356000,15.33430368815723,9.872122272024772
10376000,15.419420762000785,9.86316696224989
10400000,15.504490227466029,9.854193372112185
10416000,15.60646008109127,9.843408522809229
